("", [51])
("a", [6557])
("abandon", [1])
("abandond", [5])
("abandoned", [1])
("abandonwhich", [1])
("abashd", [1])
("abate", [5])
("abatement", [2])
("abates", [1])
("abbess", [7])
("abbey", [7])
("abbeygate", [1])
("abbeywalls", [1])
("abbominable", [1])
("abbreviated", [1])
("abed", [4])
("abetting", [1])
("abhominablewhich", [1])
("abhor", [8])
("abhorrd", [5])
("abhorred", [3])
("abhors", [2])
("abhorson", [20])
("abide", [19])
("abides", [2])
("abilities", [1])
("ability", [6])
("abilitys", [1])
("abirding", [4])
("abject", [5])
("abjure", [2])
("abjured", [2])
("able", [20])
("ableeding", [1])
("aboard", [23])
("abode", [3])
("abominable", [7])
("abortive", [1])
("abound", [2])
("about", [162])
("above", [62])
("abraham", [2])
("abram", [2])
("abreast", [1])
("abreeding", [1])
("abrewing", [1])
("abridged", [1])
("abridgement", [2])
("abroad", [18])
("abrogate", [1])
("abruption", [1])
("abruptly", [1])
("absence", [25])
("absent", [17])
("absentand", [1])
("absolute", [10])
("absolutely", [1])
("abstemious", [1])
("abstinence", [3])
("abstract", [2])
("abundance", [4])
("abundant", [1])
("abuse", [12])
("abused", [18])
("abuseif", [1])
("abuses", [4])
("abusing", [1])
("abuts", [1])
("aby", [2])
("abysm", [1])
("academe", [1])
("academes", [2])
("accent", [6])
("accept", [11])
("acceptance", [2])
("accepted", [2])
("access", [13])
("accessary", [1])
("accessible", [1])
("accidence", [1])
("accident", [12])
("accidental", [1])
("accidentally", [2])
("accidents", [5])
("accommodated", [1])
("accommodations", [1])
("accompany", [3])
("accomplishd", [1])
("accomplished", [6])
("accompt", [2])
("accord", [5])
("accordant", [1])
("according", [18])
("accordingly", [4])
("accords", [1])
("accost", [6])
("accosted", [1])
("accosting", [1])
("account", [10])
("accountant", [1])
("accounted", [3])
("accounts", [1])
("accountst", [1])
("accoutred", [1])
("accoutrement", [1])
("accoutrements", [2])
("accursed", [2])
("accurst", [1])
("accusation", [9])
("accusative", [2])
("accusativo", [1])
("accuse", [15])
("accused", [14])
("accuser", [1])
("accusers", [1])
("accuses", [1])
("accusing", [1])
("accustomd", [1])
("accustomed", [1])
("ace", [3])
("ache", [5])
("acheron", [1])
("aches", [1])
("achieve", [7])
("achieved", [3])
("achievement", [1])
("achievements", [2])
("achiever", [1])
("achieves", [1])
("achilles", [168])
("aching", [2])
("acknowledge", [9])
("acknowledged", [1])
("acoming", [1])
("acordo", [1])
("acorn", [3])
("acorncups", [1])
("acquaint", [11])
("acquaintance", [22])
("acquainted", [26])
("acquaints", [1])
("acquired", [2])
("acquisition", [1])
("acquit", [3])
("acquittance", [1])
("acquittances", [1])
("acquitted", [2])
("acre", [2])
("acres", [2])
("across", [4])
("act", [122])
("actaeon", [2])
("acted", [1])
("acting", [2])
("action", [43])
("actions", [14])
("active", [2])
("activity", [1])
("actor", [5])
("actors", [7])
("acts", [6])
("acute", [2])
("acutely", [1])
("ad", [2])
("adam", [31])
("adamant", [2])
("adams", [1])
("add", [18])
("added", [7])
("adder", [5])
("adders", [3])
("addicted", [1])
("adding", [5])
("addition", [6])
("additions", [3])
("addle", [2])
("address", [7])
("addressd", [5])
("addrest", [1])
("adds", [3])
("adhere", [1])
("adheres", [2])
("adieu", [52])
("adieus", [1])
("adjoining", [1])
("adjournd", [1])
("adjudged", [2])
("adjunct", [1])
("admirable", [11])
("admiration", [6])
("admire", [4])
("admired", [5])
("admiring", [3])
("admiringly", [2])
("admit", [8])
("admits", [3])
("admittance", [5])
("admitted", [4])
("admonishment", [1])
("admonition", [1])
("ado", [8])
("adonis", [1])
("adopted", [1])
("adoptedly", [1])
("adoption", [3])
("adoptious", [1])
("adoration", [1])
("adorations", [1])
("adore", [7])
("adored", [2])
("adorer", [1])
("adores", [1])
("adornd", [1])
("adornment", [2])
("adorns", [1])
("adowna", [1])
("adramadio", [2])
("adrian", [13])
("adriana", [88])
("adriano", [111])
("adriatic", [1])
("adulterate", [1])
("adulteress", [3])
("adulteries", [1])
("adulterous", [1])
("adultery", [4])
("advance", [8])
("advanced", [6])
("advancement", [2])
("advancing", [7])
("advantage", [21])
("advantaged", [1])
("advantageous", [2])
("advantages", [1])
("adventure", [11])
("adventured", [1])
("adventures", [2])
("adventuring", [1])
("adventurous", [2])
("adversaries", [2])
("adversary", [2])
("adversarys", [1])
("adverse", [5])
("adversity", [4])
("advertise", [1])
("advertised", [1])
("advertisement", [2])
("advertising", [1])
("advice", [17])
("advise", [21])
("advised", [14])
("advisedly", [1])
("advises", [1])
("advisings", [1])
("advocate", [6])
("advocates", [1])
("aeacides", [1])
("aegeon", [24])
("aegle", [1])
("aemelia", [16])
("aemilia", [5])
("aeneas", [77])
("aeneastake", [1])
("aer", [2])
("aesculapius", [2])
("aeson", [1])
("afar", [5])
("afeard", [18])
("afeardthy", [1])
("afeared", [1])
("afeasting", [1])
("affability", [1])
("affable", [2])
("affair", [5])
("affaire", [1])
("affairs", [20])
("affect", [11])
("affectation", [1])
("affectations", [1])
("affected", [9])
("affecting", [1])
("affection", [46])
("affectionately", [1])
("affectioned", [1])
("affections", [19])
("affects", [4])
("affectst", [1])
("affiance", [1])
("affianced", [2])
("affied", [1])
("affined", [1])
("affirm", [1])
("affirmationhis", [1])
("affirmatives", [1])
("afflict", [4])
("afflicted", [3])
("affliction", [8])
("afflictions", [2])
("afford", [6])
("affords", [4])
("affright", [2])
("affrighted", [1])
("affront", [3])
("affronted", [1])
("afield", [3])
("afire", [1])
("afoot", [4])
("afore", [5])
("aforehand", [1])
("aforesaid", [3])
("aforet", [1])
("afraid", [17])
("afresh", [2])
("afric", [3])
("african", [1])
("after", [167])
("afterdebts", [1])
("afterdinners", [2])
("aftereye", [1])
("afternoon", [15])
("afternourishment", [1])
("aftersupper", [1])
("afterward", [6])
("afterwards", [8])
("again", [290])
("against", [181])
("againsti", [1])
("agamemnon", [90])
("agamemnons", [6])
("agate", [2])
("age", [59])
("aged", [8])
("agenor", [1])
("agent", [5])
("ages", [6])
("aggravate", [2])
("agitation", [1])
("agletbaby", [1])
("ago", [12])
("agone", [1])
("agony", [2])
("agree", [6])
("agreed", [7])
("agreeing", [1])
("agreement", [3])
("agrees", [3])
("aground", [1])
("ague", [5])
("aguecheek", [3])
("agueface", [1])
("ah", [31])
("ahold", [2])
("ahooting", [1])
("ahungry", [2])
("aid", [15])
("aided", [1])
("aiding", [1])
("ail", [1])
("ailest", [1])
("aim", [13])
("aimd", [3])
("aims", [3])
("air", [75])
("aired", [1])
("airs", [4])
("airthe", [1])
("airy", [5])
("ajax", [124])
("alabaster", [1])
("alack", [24])
("alacrity", [2])
("aland", [2])
("alarm", [1])
("alarum", [6])
("alarums", [3])
("alas", [88])
("albeit", [8])
("alce", [1])
("alcides", [3])
("ale", [7])
("alehouse", [2])
("alehouses", [1])
("alencon", [1])
("alencons", [1])
("alevenpence", [1])
("alewife", [1])
("alexander", [14])
("alias", [2])
("alice", [2])
("alien", [1])
("aliena", [7])
("alighted", [2])
("alike", [15])
("alisander", [5])
("alisanderalas", [1])
("alit", [1])
("alive", [26])
("all", [1454])
("alla", [1])
("allamazed", [1])
("allay", [5])
("allaying", [1])
("allayment", [1])
("allayments", [1])
("allbuilding", [1])
("alldreaded", [1])
("allege", [1])
("allegiance", [6])
("alley", [2])
("alleys", [1])
("allhallond", [1])
("allhallowmas", [1])
("alliance", [3])
("allicholy", [1])
("allied", [3])
("allies", [1])
("alligant", [1])
("allons", [3])
("allot", [1])
("allottery", [1])
("allow", [10])
("allowance", [2])
("allowd", [4])
("allowed", [7])
("allowing", [2])
("allows", [2])
("alls", [12])
("alltelling", [1])
("allto", [1])
("allure", [2])
("allured", [1])
("allurement", [1])
("alluring", [1])
("allusion", [2])
("allwe", [1])
("allworthy", [2])
("almanac", [2])
("almighty", [4])
("almond", [1])
("almost", [67])
("alms", [5])
("almsbasket", [1])
("aloft", [2])
("alone", [70])
("along", [36])
("alonso", [49])
("aloof", [5])
("aloud", [11])
("alphabetical", [1])
("already", [51])
("also", [12])
("altar", [7])
("altars", [3])
